Time,C1_Voltage,L1_Current,VDC1_Voltage Difference
25.1,0.977312854097134,0.015122479,1
25.2,0.977687819190019,0.014872614,1
25.3,0.978056588778991,0.014626873,1
25.4,0.978419265144438,0.01438519,1
25.5,0.978775948882476,0.014147497,1
25.6,0.979126738932481,0.013913728,1
25.7,0.979471732604175,0.013683819,1
25.8,0.979811025604275,0.013457707,1
25.9,0.980144712062728,0.013235328,1
26,0.980472884558513,0.013016621,1
26.1,0.980795634145039,0.012801525,1
26.2,0.981113050375123,0.012589982,1
26.3,0.981425221325579,0.012381932,1
26.4,0.981732233621405,0.012177319,1
26.5,0.982034172459583,0.011976084,1
26.6,0.982331121632489,0.011778174,1
26.7,0.982623163550935,0.011583532,1
26.8,0.982910379266832,0.011392105,1
26.9,0.983192848495487,0.011203839,1
27,0.983470649637549,0.011018684,1
27.1,0.98374385980058,0.010836587,1
27.2,0.984012554820299,0.010657498,1
27.3,0.984276809281469,0.010481367,1
27.4,0.984536696538444,0.010308146,1
27.5,0.984792288735392,0.010137787,1
27.6,0.985043656826178,0.009970242,1
27.7,0.985290870593937,0.009805464,1
27.8,0.985533998670316,0.009643409,1
27.9,0.98577310855441,0.009484032,1
28,0.986008266631393,0.009327287,1
28.1,0.986239538190834,0.009173132,1
28.2,0.986466987444729,0.009021524,1
28.3,0.986690677545228,0.008872421,1
28.4,0.986910670602077,0.008725781,1
28.5,0.987127027699778,0.008581565,1
28.6,0.987339808914463,0.008439731,1
28.7,0.987549073330501,0.008300241,1
28.8,0.987754879056821,0.008163055,1
28.9,0.987957283242984,0.008028137,1
29,0.988156342094977,0.007895447,1
29.1,0.988352110890763,0.007764951,1
29.2,0.988544643995561,0.00763661,1
29.3,0.988733994876894,0.007510391,1
29.4,0.988920216119372,0.007386257,1
29.5,0.98910335943925,0.007264174,1
29.6,0.989283475698731,0.007144109,1
29.7,0.989460614920054,0.007026028,1
29.8,0.989634826299329,0.006909898,1
29.9,0.989806158220164,0.006795688,1
30,0.98997465826706,0.006683364,1
30.1,0.990140373238582,0.006572897,1
30.2,0.990303349160328,0.006464256,1
30.3,0.990463631297669,0.00635741,1
30.4,0.990621264168288,0.006252329,1
30.5,0.990776291554518,0.006148986,1
30.6,0.990928756515464,0.00604735,1
30.7,0.991078701398939,0.005947394,1
30.8,0.991226167853197,0.00584909,1
30.9,0.991371196838472,0.00575241,1
31,0.991513828638335,0.005657328,1
31.1,0.991654102870855,0.005563818,1
31.2,0.991792058499583,0.005471853,1
31.3,0.99192773384435,0.005381408,1
31.4,0.992061166591897,0.005292458,1
31.5,0.992192393806316,0.005204978,1
31.6,0.992321451939332,0.005118944,1
31.7,0.992448376840409,0.005034331,1
31.8,0.992573203766691,0.004951118,1
31.9,0.992695967392779,0.004869279,1
32,0.992816701820351,0.004788793,1
32.1,0.992935440587616,0.004709637,1
32.2,0.99305221667862,0.00463179,1
32.3,0.993167062532392,0.004555229,1
32.4,0.993280010051949,0.004479934,1
32.5,0.993391090613136,0.004405883,1
32.6,0.993500335073344,0.004333056,1
32.7,0.993607773780057,0.004261433,1
32.8,0.993713436579284,0.004190994,1
32.9,0.993817352823835,0.004121719,1
33,0.993919551381464,0.004053589,1
33.1,0.994020060642884,0.003986585,1
33.2,0.994118908529644,0.003920688,1
33.3,0.994216122501876,0.003855881,1
33.4,0.994311729565918,0.003792144,1
33.5,0.994405756281807,0.003729462,1
33.6,0.994498228770654,0.003667815,1
33.7,0.994589172721892,0.003607187,1
33.8,0.994678613400404,0.003547562,1
33.9,0.994766575653542,0.003488922,1
34,0.994853083918018,0.003431251,1
34.1,0.994938162226692,0.003374533,1
34.2,0.99502183421524,0.003318753,1
34.3,0.995104123128717,0.003263895,1
34.4,0.995185051828012,0.003209944,1
34.5,0.99526464279619,0.003156884,1
34.6,0.995342918144739,0.003104702,1
34.7,0.995419899619707,0.003053382,1
34.8,0.995495608607737,0.00300291,1
34.9,0.995570066142009,0.002953272,1
35,0.995643292908079,0.002904455,1
35.1,0.995715309249618,0.002856445,1
35.2,0.995786135174069,0.002809229,1
35.3,0.995855790358195,0.002762793,1
35.4,0.995924294153549,0.002717124,1
35.5,0.995991665591839,0.00267221,1
35.6,0.996057923390225,0.002628039,1
35.7,0.996123085956505,0.002584598,1
